y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
0.79375,0.8,0.771875,0.76875,0.75,0.828125,0.740625,1.5125,0.784375,5.1625,0.759375,6.24375,15.0625,11.2375,20.71875,18.615625,18.975,26.96875,20.49375,19.28125,20.35,23.88125,19.41875,15.925,38.08125,20.25
0.784375,0.75625,0.746875,0.790625,0.74375,0.815625,0.7125,1.2125,0.771875,5.76875,0.759375,7.209375,12.01875,12.690625,18.728125,21.275,23.915625,20.590625,20.9375,18.796875,18.159375,20.5375,18.771875,21.4375,19.096875,21.315625
0.771875,0.734375,0.765625,0.828125,0.740625,0.765625,0.75625,1.265625,0.765625,5.521875,0.775,6.05625,19.4625,11.96875,20.453125,20.096875,22.809375,19.39375,21.93125,22.921875,20.490625,20.85625,21.278125,19.103125,24.675,23.20625
0.796875,0.80625,0.73125,0.775,0.73125,0.878125,0.81875,1.71875,0.784375,4.721875,0.775,6.159375,11.78125,14.325,20.1625,21.9,20.046875,21.28125,20.575,16.640625,21.428125,43.25625,17.765625,12.884375,20.31875,42.890625
0.79375,0.740625,0.796875,0.76875,0.721875,0.8125,0.74375,2.090625,0.834375,4.690625,0.7375,6.5,10.909375,12.646875,18.875,18.35625,16.95,21.178125,20.01875,18.734375,21.23125,23.478125,20.434375,20.3,51.509375,43.1125
0.75,0.753125,0.74375,0.765625,0.740625,0.840625,0.759375,1.121875,0.8125,5.140625,0.803125,4.6625,17.03125,17.4,18.178125,19.896875,17.965625,19.584375,20.5875,15.91875,22.109375,20.765625,47.5375,18.30625,19.83125,38.40625
0.78125,0.778125,0.83125,0.803125,0.734375,0.8375,0.75,1.075,0.771875,4.890625,0.75625,5.540625,17.5875,15.703125,23.184375,20.49375,22.8875,20.815625,20.7875,20.5125,22.45,21.715625,21.84375,23.503125,29.390625,44.603125
0.728125,0.79375,0.790625,0.790625,0.709375,0.790625,0.715625,1.3875,0.8125,4.875,0.790625,4.71875,15.153125,20.11875,17.86875,18.7875,19.20625,21.415625,20.3125,43.40625,21.35625,20.43125,31.190625,17.765625,23.9625,52.178125
0.759375,0.815625,0.76875,0.778125,0.715625,0.8125,0.75625,0.825,0.83125,4.93125,0.790625,5.965625,15.53125,19.5875,18.71875,19.696875,24.896875,20.784375,18.475,18.984375,19.925,35.865625,32.54375,24.13125,22.603125,41.346875
0.803125,1.05625,0.746875,0.765625,0.75,0.80625,0.765625,0.784375,0.8,5.103125,0.75,7.90625,18.859375,20.13125,20.83125,19.428125,19.4625,21.6625,20.825,19.090625,20.903125,42.109375,22.021875,21.009375,23.125,43.4375
0.784375,0.840625,0.7625,0.8,0.803125,1.0125,0.759375,0.884375,0.809375,5.215625,0.790625,8.015625,18.0125,17.7875,19.96875,20.046875,20.975,22.928125,21.95,18.934375,21.1125,22.546875,21.88125,38.115625,28.434375,43.86875
0.775,0.75,0.7625,0.7875,0.778125,0.809375,0.73125,0.75625,0.81875,5.396875,0.81875,11.959375,11.68125,16.640625,19.61875,19.509375,20.059375,21.284375,22.728125,16.025,21.090625,21.56875,31.29375,20.05625,24.8375,43.759375
0.809375,0.753125,0.75625,0.74375,0.76875,0.825,0.75,0.828125,0.825,5.53125,0.809375,8.2125,17.740625,18.171875,21.2625,20.815625,25.60625,21.9375,23.0,21.75625,23.775,21.975,40.865625,19.909375,49.93125,23.309375
0.74375,0.75625,0.74375,0.790625,0.7625,0.775,0.740625,0.79375,0.825,5.221875,0.784375,7.39375,13.253125,14.25625,18.3,19.33125,21.0125,19.265625,20.990625,20.4,22.5625,22.36875,29.31875,29.678125,25.20625,53.74375
0.790625,0.78125,0.80625,0.778125,0.7375,0.825,0.753125,0.78125,0.796875,5.1125,0.784375,8.18125,13.33125,19.334375,18.446875,18.421875,21.665625,20.996875,20.81875,12.690625,34.434375,20.465625,47.590625,38.94375,42.6875,54.171875
0.7875,0.7875,0.740625,0.825,0.809375,0.81875,0.7625,0.79375,0.79375,5.709375,0.775,13.9625,16.59375,20.1375,18.1375,19.815625,20.8375,20.971875,25.61875,17.865625,20.434375,23.85625,51.171875,19.846875,49.675,52.384375
0.76875,0.725,0.728125,0.784375,0.778125,0.75625,0.74375,0.771875,0.790625,5.509375,0.83125,8.4375,15.440625,17.10625,24.796875,20.753125,20.58125,22.046875,19.178125,14.7625,32.95625,20.45,51.184375,21.4625,41.19375,23.690625
